egID	Symbol	Name	Location	class_type	Alias
79813	EHMT1	euchromatic histone lysine methyltransferase 1	9q34.3	Histone modification write	Eu-HMTase1; FLJ12879; KIAA1876; bA188C12.1; KMT1D; euchromatic histone methyltransferase 1; EUHMTASE1; FP13812; G9a-like protein 1; H3-K9-HMTase 5; histone H3-K9 methyltransferase 5; histone-lysine N-methyltransferase, H3 lysine-9 specific 5; lysine N-methyltransferase 1D; Histone-lysine N-methyltransferase EHMT1
10919	EHMT2	euchromatic histone lysine methyltransferase 2	6p21.33	Histone modification write	G9A; Em:AF134726.3; NG36/G9a; KMT1C; C6orf30; BAT8; chromosome 6 open reading frame 30; HLA-B associated transcript 8; GAT8; NG36; G9A histone methyltransferase; H3-K9-HMTase 3; ankyrin repeat-containing protein; histone H3-K9 methyltransferase 3; histone-lysine N-methyltransferase, H3 lysine-9 specific 3; lysine N-methyltransferase 1C; Protein G9a; HLA-B-associated transcript 8; Histone-lysine N-methyltransferase EHMT2
55140	ELP3	elongator acetyltransferase complex subunit 3	8p21.1	Histone modification write	FLJ10422; KAT9; elongation protein 3 homolog (S. cerevisiae); elongation protein 3 homolog; hELP3; Elongator complex protein 3
2033	EP300	E1A binding protein p300	22q13.2	Histone modification write	p300; KAT3B; histone acetyltransferase p300; RSTS2; E1A-associated protein p300; E1A-binding protein, 300kD; p300 HAT
57634	EP400	E1A binding protein p400	12q24.33	Chromatin remodelling, Histone modification write	CAGH32; KIAA1498; P400; KIAA1818; DKFZP434I225; TNRC12; trinucleotide repeat containing 12; CAG repeat protein 32; domino homolog; hDomino; p400 SWI2/SNF2-related protein; p400 kDa SWI2/SNF2-related protein; trinucleotide repeat-containing gene 12 protein; E1A-binding protein p400
80314	EPC1	enhancer of polycomb homolog 1	10p11.22	Polycomb group (PcG) protein	Epl1; Enhancer of polycomb homolog 1
26122	EPC2	enhancer of polycomb homolog 2	2q23.1	Chromatin remodelling	DKFZP566F2124; EPC-LIKE; Enhancer of polycomb homolog 2
2074	ERCC6	ERCC excision repair 6, chromatin remodeling factor	10q11.23	Chromatin remodelling	RAD26; ARMD5; Cockayne syndrome B protein; CKN2; excision repair cross-complementing rodent repair deficiency, complementation group 6; COFS; COFS1; UVSS1; ATP-dependent helicase ERCC6; Cockayne syndrome group B protein; cockayne syndrome protein CSB; DNA excision repair protein ERCC-6
2138	EYA1	EYA transcriptional coactivator and phosphatase 1	8q13.3	Histone modification erase	eyes absent (Drosophila) homolog 1; eyes absent homolog 1 (Drosophila); Eyes absent homolog 1
2139	EYA2	EYA transcriptional coactivator and phosphatase 2	20q13.12	Histone modification erase	EAB1; eyes absent (Drosophila) homolog 2; eyes absent homolog 2 (Drosophila); Eyes absent homolog 2
2140	EYA3	EYA transcriptional coactivator and phosphatase 3	1p35.3	Histone modification erase	DKFZp686C132; eyes absent (Drosophila) homolog 3; eyes absent homolog 3 (Drosophila); eyes absent 3; Eyes absent homolog 3
2070	EYA4	EYA transcriptional coactivator and phosphatase 4	6q23.2	Histone modification erase	DFNA10; CMD1J; eyes absent (Drosophila) homolog 4; eyes absent homolog 4 (Drosophila); dJ78N10.1 (eyes absent); Eyes absent homolog 4
2145	EZH1	enhancer of zeste 1 polycomb repressive complex 2 subunit	17q21.2	Histone modification write, Polycomb group (PcG) protein	KIAA0388; KMT6B; enhancer of zeste (Drosophila) homolog 1; enhancer of zeste homolog 1 (Drosophila); ENX-2; enhancer of zeste homolog 1; Histone-lysine N-methyltransferase EZH1
2146	EZH2	enhancer of zeste 2 polycomb repressive complex 2 subunit	7q36.1	Histone modification write, Polycomb group (PcG) protein	ENX-1; KMT6; KMT6A; enhancer of zeste (Drosophila) homolog 2; enhancer of zeste homolog 2 (Drosophila); ENX1; EZH1b; WVS; WVS2; enhancer of zeste homolog 2; lysine N-methyltransferase 6; Histone-lysine N-methyltransferase EZH2
2332	FMR1	fragile X mental retardation 1	Xq27.3	#	FMRP; MGC87458; POF1; premature ovarian failure 1; Protein FMR-1; Fragile X mental retardation protein 1
79068	FTO	FTO, alpha-ketoglutarate dependent dioxygenase	16q12.2	#	KIAA1752; MGC5149; ALKBH9; alkB homolog 9; alpha-ketoglutarate-dependent dioxygenase; fat mass and obesity-associated protein; Alpha-ketoglutarate-dependent dioxygenase FTO
8087	FXR1	FMR1 autosomal homolog 1	3q26.33	#	FXR1P; fragile X mental retardation autosomal homolog variant p1K; fragile X mental retardation autosomal homolog variant p2K; fragile X mental retardation autosomal homolog variant p4K; fragile X mental retardation autosomal homolog variant p5FK; hFXR1p; Fragile X mental retardation syndrome-related protein 1
9513	FXR2	FMR1 autosomal homolog 2	17p13.1	#	FMR1L2; FMR1L2P; fragile X-mental retardation 1-like 2; Fragile X mental retardation syndrome-related protein 2
2565	GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit	4p12	#	GABA(A) receptor, gamma; GABA(A) receptor subunit gamma-1; gamma-1 polypeptide; Gamma-aminobutyric acid receptor subunit gamma-1
54815	GATAD2A	GATA zinc finger domain containing 2A	19p13.11	Histone modification read	p66alpha; p66 alpha; GATA zinc finger domain-containing protein 2A; Hp66alpha; Transcriptional repressor p66-alpha
57459	GATAD2B	GATA zinc finger domain containing 2B	1q21.3	Histone modification read	P66beta; transcription repressor p66 beta component of the MeCP1 complex; MRD18; GATA zinc finger domain-containing protein 2B; p66/p68; Transcriptional repressor p66-beta
92292	GLYATL1	glycine-N-acyltransferase like 1	11q12.1	#	FLJ34646; GATF-C; GNAT; acyl-CoA:glycine N-acyltransferase-like protein 1; glutamine N-acyltransferase; Glycine N-acyltransferase-like protein 1
84656	GLYR1	glyoxylate reductase 1 homolog	16p13.3	Histone modification read	BM045; HIBDL; NP60; N-PAC; nuclear protein 60kDa; 3-hydroxyisobutyrate dehydrogenase-like protein; cytokine-like nuclear factor n-pac; nuclear protein 60 kDa; nuclear protein NP60; nuclear protein of 60 kDa; Glyoxylate reductase 1 homolog; Putative oxidoreductase GLYR1
2975	GTF3C1	general transcription factor IIIC subunit 1	16p12.1	#	TFIIIC220; general transcription factor IIIC, polypeptide 1 (alpha subunit, 220kD ); TFIIIC; TFIIICalpha; TF3C-alpha; TFIIIC 220 kDa subunit; TFIIIC box B-binding subunit; general transcription factor IIIC, polypeptide 1 (alpha subunit); transcription factor IIIC 220 kDa subunit; transcription factor IIIC subunit alpha; General transcription factor 3C polypeptide 1
9329	GTF3C4	general transcription factor IIIC subunit 4	9q34.13	Histone modification write	TFIIIC90; KAT12; general transcription factor IIIC, polypeptide 4 (90kD); TFIII90; TFIIIC290; TFIIICDELTA; TF3C-delta; TFIIIC 90 kDa subunit; general transcription factor 3C 4; transcription factor IIIC 90 kDa subunit; transcription factor IIIC subunit delta; General transcription factor 3C polypeptide 4
8520	HAT1	histone acetyltransferase 1	2q31.1	Histone modification write	Histone acetyltransferase type B catalytic subunit
3054	HCFC1	host cell factor C1	Xq28	Chromatin remodelling	HCF-1; HCF1; CFF; VCAF; MGC70925; PPP1R89; VP16-accessory protein; protein phosphatase 1, regulatory subunit 89; HFC1; MRX3; mental retardation, X-linked 3; host cell factor C1 (VP16-accessory protein); HCF; VP16 accessory protein; C1 factor; Host cell factor 1
29915	HCFC2	host cell factor C2	12q23.3	Histone modification write cofactor, Histone modification write cofactor	HCF-2; C2 factor; Host cell factor 2
83933	HDAC10	histone deacetylase 10	22q13.33	Histone modification erase	DKFZP761B039; HD10
79885	HDAC11	histone deacetylase 11	3p25.1	Histone modification erase	HD11
3065	HDAC1	histone deacetylase 1	1p35.2-p35.1	Histone modification erase	GON-10; RPD3L1; reduced potassium dependency, yeast homolog-like 1
3066	HDAC2	histone deacetylase 2	6q21	Histone modification erase	YAF1; HD2; YY1-associated factor 1; transcriptional regulator homolog RPD3
8841	HDAC3	histone deacetylase 3	5q31.3	Histone modification erase	HD3; RPD3-2; SMAP45
9759	HDAC4	histone deacetylase 4	2q37.3	Histone modification erase	KIAA0288; HDAC-A; HDACA; HD4; HA6116; HDAC-4; BDMR; brachydactyly-mental retardation syndrome; AHO3; histone deacetylase A
10014	HDAC5	histone deacetylase 5	17q21.31	Histone modification erase	KIAA0600; NY-CO-9; FLJ90614; HD5; antigen NY-CO-9
10013	HDAC6	histone deacetylase 6	Xp11.23	Histone modification erase	KIAA0901; JM21; FLJ16239; PPP1R90; protein phosphatase 1, regulatory subunit 90; CPBHM
51564	HDAC7	histone deacetylase 7	12q13.11	Histone modification erase	DKFZP586J0917; HDAC7A; histone deacetylase 7A; HD7AA; HD7a
55869	HDAC8	histone deacetylase 8	Xq13.1	Histone modification erase	HDACL1; MRXS6; histone deacetylase-like 1; Wilson-Turner X-linked mental retardation syndrome; CDA07; CDLS5; HD8
9734	HDAC9	histone deacetylase 9	7p21.1	Histone modification erase	KIAA0744; HDAC; MITR; HDAC7B; HD7b; HD9; HDAC7BB; HDAC9FL; HDRP; MEF-2 interacting transcription repressor (MITR) protein; histone deacetylase 4/5-related protein; histone deacetylase 7B; MEF2-interacting transcription repressor MITR; Histone deacetylase-related protein
154150	HDGFL1	HDGF like 1	6p22.3	#	dJ309H15.1; PWWP1; PWWP domain containing 1; HDGF (hepatoma-derived growth factor) like; PWWP domain-containing protein 1; Hepatoma-derived growth factor-like protein 1
84717	HDGFL2	HDGF like 2	19p13.3	Histone modification read	
3068	HDGF	heparin binding growth factor	1q23.1	Chromatin remodelling	HMG1L2; high-mobility group protein 1-like; hepatoma-derived growth factor (high-mobility group protein 1-like); HMG-1L2; high mobility group protein 1-like 2
3070	HELLS	helicase, lymphoid-specific	10q23.33	Chromatin remodelling	PASG; SMARCA6; Nbla10143; SWI/SNF2-related, matrix-associated, actin-dependent regulator of chromatin, subfamily A, member 6; proliferation-associated SNF2-like protein; SWI/SNF2-related matrix-associated actin-dependent regulator of chromatin subfamily A member 6; Lymphoid-specific helicase
6927	HNF1A	HNF1 homeobox A	12q24.31	#	HNF1; LFB1; MODY3; TCF1; transcription factor 1, hepatic; LF-B1, hepatic nuclear factor (HNF1), albumin proximal factor; HNF-1A; HNF-1-alpha; albumin proximal factor; hepatic nuclear factor 1; interferon production regulator factor; liver-specific transcription factor LF-B1; transcription factor 1, hepatic; Transcription factor 1; Hepatocyte nuclear factor 1-alpha
3417	IDH1	isocitrate dehydrogenase (NADP(+)) 1, cytosolic	2q34	#	HEL-216; HEL-S-26; IDCD; IDPC; PICD; NADP-dependent isocitrate dehydrogenase, cytosolic; NADP-dependent isocitrate dehydrogenase, peroxisomal; epididymis luminal protein 216; epididymis secretory protein Li 26; Cytosolic NADP-isocitrate dehydrogenase; Isocitrate dehydrogenase [NADP] cytoplasmic
3418	IDH2	isocitrate dehydrogenase (NADP(+)) 2, mitochondrial	15q26.1	#	D2HGA2; ICD-M; IDHM; IDPM; mNADP-IDH; Isocitrate dehydrogenase [NADP], mitochondrial
10320	IKZF1	IKAROS family zinc finger 1	7p12.2	Chromatin remodelling	hIk-1; LyF-1; Hs.54452; IKAROS; PPP1R92; protein phosphatase 1, regulatory subunit 92; ZNFN1A1; zinc finger protein, subfamily 1A, 1 (Ikaros); LYF1; PRO0758; CLL-associated antigen KW-6; ikaros family zinc finger protein 1; lymphoid transcription factor LyF-1; DNA-binding protein Ikaros
3621	ING1	inhibitor of growth family member 1	13q34	Histone modification read	p33ING1; p33ING1b; p24ING1c; p47ING1a; inhibitor of growth 1; tumor suppressor ING1; growth inhibitor ING1; growth inhibitory protein ING1; Inhibitor of growth protein 1
3622	ING2	inhibitor of growth family member 2	4q35.1	Histone modification read	p33ING2; ING1L; inhibitor of growth family, member 1-like; ING1Lp; inhibitor of growth 1-like protein; Inhibitor of growth protein 2
54556	ING3	inhibitor of growth family member 3	7q31.31	Chromatin remodelling, Histone modification write cofactor	p47ING3; FLJ20089; Eaf4; MEAF4; Inhibitor of growth protein 3
51147	ING4	inhibitor of growth family member 4	12p13.31	Histone modification read	p29ING4; my036; brain my036 protein; candidate tumor suppressor p33 ING1 homolog; Inhibitor of growth protein 4
84289	ING5	inhibitor of growth family member 5	2q37.3	Histone modification read	FLJ23842; p28ING5; Inhibitor of growth protein 5
83444	INO80B	INO80 complex subunit B	2p13.1	Chromatin remodelling cofactor	HMGIYL4; PAPA-1; hIes2; PAP-1BP; IES2; PAP-1 binding protein; IES2 homolog (S. cerevisiae); HMGA1L4; ZNHIT4; high mobility group AT-hook 1-like 4; zinc finger, HIT type 4; IES2 homolog; PAP (Pim-1 associated protein) associated protein 1; PAP-1-associated protein 1; zinc finger HIT domain-containing protein 4
125476	INO80C	INO80 complex subunit C	18q12.2	Chromatin remodelling cofactor	FLJ38183; hIes6; IES6; IES6 homolog (S. cerevisiae); C18orf37; chromosome 18 open reading frame 37; IES6 homolog
54617	INO80	INO80 complex subunit	15q15.1	Chromatin remodelling	KIAA1259; hINO80; INO80A; INO80 complex subunit A; INOC1; INO80 complex homolog 1 (S. cerevisiae); INO80 homolog (S. cerevisiae); INO80 homolog; homolog of yeast INO80; putative DNA helicase INO80 complex homolog 1; DNA helicase INO80
57117	INTS12	integrator complex subunit 12	4q24	#	SBBI22; INT12; hypothetical nuclear factor SBBI22; PHF22; PHD finger protein 22
3720	JARID2	jumonji and AT-rich interaction domain containing 2	6p22.3	Histone modification write cofactor	JMJ; jumonji (mouse) homolog; jumonji homolog; jumonji-like protein; jumonji/ARID domain-containing protein 2; Protein Jumonji
80853	KDM7A	lysine demethylase 7A	7q34	Histone modification erase	KIAA1718; JHDM1D; jumonji C domain containing histone demethylase 1 homolog D (S. cerevisiae); histone lysine demethylase JHDM1D; jmjC domain-containing histone demethylation protein 1D; jumonji C domain containing histone demethylase 1 homolog D; jumonji C domain-containing histone demethylase 1 homolog D; lysine-specific demethylase 7; Lysine-specific demethylase 7A
221037	JMJD1C	jumonji domain containing 1C	10q21.3	Histone modification erase	DKFZp761F0118; KIAA1380; FLJ14374; TRIP8; thyroid hormone receptor interactor 8; TR-interacting protein 8; TRIP-8; jumonji domain-containing protein 1C; thyroid receptor interacting protein 8; thyroid receptor-interacting protein 8; Probable JmjC domain-containing histone demethylation protein 2C
79831	KDM8	lysine demethylase 8	16p12.1	Histone modification erase	FLJ13798; JMJD5; jumonji domain containing 5; jmjC domain-containing protein 5; jumonji domain-containing protein 5; Lysine-specific demethylase 8
23210	JMJD6	arginine demethylase and lysine hydroxylase	17q25.1	Histone modification erase	PTDSR1; KIAA0585; PTDSR; phosphatidylserine receptor; PSR; histone arginine demethylase JMJD6; jmjC domain-containing protein 6; jumonji domain-containing protein 6; lysyl-hydroxylase JMJD6; peptide-lysine 5-dioxygenase JMJD6; Protein PTDSR; Bifunctional arginine demethylase and lysyl-hydroxylase JMJD6
2648	KAT2A	lysine acetyltransferase 2A	17q21.2	Histone modification write	PCAF-b; GCN5L2; GCN5 general control of amino-acid synthesis 5-like 2 (yeast); hGCN5; GCN5 (general control of amino-acid synthesis, yeast, homolog)-like 2; General control of amino acid synthesis, yeast, homolog-like 2; STAF97; general control of amino acid synthesis protein 5-like 2; histone acetyltransferase GCN5; hsGCN5; lysine acetyltransferase 2A; Histone acetyltransferase KAT2A
8850	KAT2B	lysine acetyltransferase 2B	3p24.3	Histone modification write	P/CAF; GCN5L; PCAF; p300/CBP-associated factor; CAF; CREBBP-associated factor; histone acetylase PCAF; histone acetyltransferase PCAF; lysine acetyltransferase 2B; Histone acetyltransferase KAT2B
10524	KAT5	lysine acetyltransferase 5	11q13.1	Histone modification write	TIP60; HTATIP1; Tat interacting protein, 60kDa; K-acetyltransferase 5; HTATIP; HIV-1 Tat interactive protein, 60kDa; 60 kDa Tat-interactive protein; cPLA(2)-interacting protein; cPLA2 interacting protein; histone acetyltransferase HTATIP; Lysine acetyltransferase 5; HIV-1 Tat interactive protein; Histone acetyltransferase KAT5
23028	KDM1A	lysine demethylase 1A	1p36.12	Histone modification erase	KIAA0601; BHC110; LSD1; AOF2; KDM1; amine oxidase (flavin containing) domain 2; lysine (K)-specific demethylase 1; BRAF35-HDAC complex protein BHC110; FAD-binding protein BRAF35-HDAC complex, 110 kDa subunit; flavin-containing amine oxidase domain-containing protein 2; lysine-specific histone demethylase 1; Lysine-specific histone demethylase 1A
221656	KDM1B	lysine demethylase 1B	6p22.3	Histone modification erase	FLJ34109; FLJ33898; dJ298J15.2; bA204B7.3; FLJ43328; LSD2; C6orf193; AOF1; amine oxidase, flavin containing 1; chromosome 6 open reading frame 193; amine oxidase (flavin containing) domain 1; flavin-containing amine oxidase domain-containing protein 1; lysine-specific histone demethylase 2; Lysine-specific histone demethylase 1B
22992	KDM2A	lysine demethylase 2A	11q13.2	Histone modification erase	KIAA1004; FBL11; LILINA; DKFZP434M1735; FLJ00115; CXXC8; JHDM1A; F-box protein FBL11; jumonji C domain-containing histone demethylase 1A; FBXL11; F-box and leucine-rich repeat protein 11; CXXC-type zinc finger protein 8; F-box/LRR-repeat protein 11; [Histone-H3]-lysine-36 demethylase 1A; jmjC domain-containing histone demethylation protein 1A; F-box protein Lilina; Lysine-specific demethylase 2A
84678	KDM2B	lysine demethylase 2B	12q24.31	Histone modification erase	PCCX2; CXXC2; Fbl10; JHDM1B; jumonji C domain-containing histone demethylase 1B; FBXL10; F-box and leucine-rich repeat protein 10; CXXC-type zinc finger protein 2; F-box protein FBL10; F-box/LRR-repeat protein 10; JEMMA (Jumonji domain, EMSY-interactor, methyltransferase motif) protein; [Histone-H3]-lysine-36 demethylase 1B; jmjC domain-containing histone demethylation protein 1B; protein-containing CXXC domain 2; Protein JEMMA; Jumonji domain-containing EMSY-interactor methyltransferase motif protein; Lysine-specific demethylase 2B
55818	KDM3A	lysine demethylase 3A	2p11.2	Histone modification erase	TSGA; KIAA0742; JHMD2A; jumonji C domain-containing histone demethylase 2A; JMJD1; JMJD1A; jumonji domain containing 1; jumonji domain containing 1A; JHDM2A; jmjC domain-containing histone demethylation protein 2A; jumonji domain-containing protein 1A; testis-specific protein A; Lysine-specific demethylase 3A
51780	KDM3B	lysine demethylase 3B	5q31.2	Histone modification erase	KIAA1082; NET22; C5orf7; JMJD1B; chromosome 5 open reading frame 7; jumonji domain containing 1B; 5qNCA; jmjC domain-containing histone demethylation protein 2B; jumonji domain-containing protein 1B; nuclear protein 5qNCA; Lysine-specific demethylase 3B
9682	KDM4A	lysine demethylase 4A	1p34.2-p34.1	Histone modification erase	KIAA0677; JHDM3A; TDRD14A; jumonji C domain-containing histone demethylase 3A; tudor domain containing 14A; JMJD2; JMJD2A; jumonji domain containing 2; jumonji domain containing 2A; jmjC domain-containing histone demethylation protein 3A; jumonji domain-containing protein 2A; Lysine-specific demethylase 4A
23030	KDM4B	lysine demethylase 4B	19p13.3	Histone modification erase	KIAA0876; TDRD14B; tudor domain containing 14B; JMJD2B; jumonji domain containing 2B; jmjC domain-containing histone demethylation protein 3B; jumonji domain-containing protein 2B; Lysine-specific demethylase 4B
23081	KDM4C	lysine demethylase 4C	9p24.1	Histone modification erase	GASC1; KIAA0780; TDRD14C; tudor domain containing 14C; JMJD2C; jumonji domain containing 2C; JHDM3C; JmjC domain-containing histone demethylation protein 3C; gene amplified in squamous cell carcinoma 1 protein; jumonji domain-containing protein 2C; GASC-1 protein; Lysine-specific demethylase 4C
390245	KDM4E	lysine demethylase 4E	11q21	Histone modification erase	JMJD2E; KDM4DL; lysine (K)-specific demethylase 4D-like; KDM4D-like protein; Lysine-specific demethylase 4D-like; Lysine-specific demethylase 4E
55693	KDM4D	lysine demethylase 4D	11q21	Histone modification erase	FLJ10251; JMJD2D; jumonji domain containing 2D; jmjC domain-containing histone demethylation protein 3D; jumonji domain-containing protein 2D; Lysine-specific demethylase 4D
5927	KDM5A	lysine demethylase 5A	12p13.33	Histone modification erase	RBBP2; JARID1A; retinoblastoma-binding protein 2; Jumonji, AT rich interactive domain 1A (RBBP2-like); jumonji, AT rich interactive domain 1A; RBBP-2; Jumonji, AT rich interactive domain 1A (RBP2-like); histone demethylase JARID1A; jumonji/ARID domain-containing protein 1A; retinoblastoma binding protein 2; Lysine-specific demethylase 5A
10765	KDM5B	lysine demethylase 5B	1q32.1	Histone modification erase	RBBP2H1A; PLU-1; CT31; PPP1R98; cancer/testis antigen 31; protein phosphatase 1, regulatory subunit 98; JARID1B; Jumonji, AT rich interactive domain 1B (RBP2-like); jumonji, AT rich interactive domain 1B; PLU1; PUT1; RBP2-H1; histone demethylase JARID1B; jumonji/ARID domain-containing protein 1B; putative DNA/chromatin binding motif; retinoblastoma-binding protein 2 homolog 1; retinoblastoma-binding protein 2, homolog 1A; Lysine-specific demethylase 5B
8242	KDM5C	lysine demethylase 5C	Xp11.22	Histone modification erase	DXS1272E; XE169; SMCX; JARID1C; MRX13; Jumonji, AT rich interactive domain 1C (RBP2-like); Smcy homolog, X-linked (mouse); jumonji, AT rich interactive domain 1C; mental retardation, X-linked 13; MRXJ; MRXSCJ; MRXSJ; JmjC domain-containing protein SMCX; Jumonji/ARID domain-containing protein 1C; Smcx homolog, X chromosome; Smcy homolog, X-linked; histone demethylase JARID1C; Protein Xe169; Protein SmcX; Lysine-specific demethylase 5C
8284	KDM5D	lysine demethylase 5D	Yq11.223	Histone modification erase	KIAA0234; HYA; HY; SMCY; JARID1D; Jumonji, AT rich interactive domain 1D (RBP2-like); Smcy homolog, Y-linked (mouse); jumonji, AT rich interactive domain 1D; H-Y; SMC homolog, Y chromosome; Smcy homolog, Y-linked; histocompatibility Y antigen; histone demethylase JARID1D; jumonji/ARID domain-containing protein 1D; protein SmcY; selected mouse cDNA on Y, human homolog of; Lysine-specific demethylase 5D
7403	KDM6A	lysine demethylase 6A	Xp11.3	Histone modification erase	UTX; ubiquitously transcribed tetratricopeptide repeat, X chromosome; KABUK2; bA386N14.2; bA386N14.2 (ubiquitously transcribed X chromosome tetratricopeptide repeat protein (UTX)); histone demethylase UTX; ubiquitously transcribed tetratricopeptide repeat protein X-linked; ubiquitously-transcribed TPR gene on the X chromosome; Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein; Ubiquitously-transcribed TPR protein on the X chromosome; Lysine-specific demethylase 6A
23135	KDM6B	lysine demethylase 6B	17p13.1	Histone modification erase	KIAA0346; JMJD3; jumonji domain containing 3; jumonji domain containing 3, histone lysine demethylase; jmjC domain-containing protein 3; jumonji domain-containing protein 3; lysine demethylase 6B; Lysine-specific demethylase 6B
23349	PHF24	PHD finger protein 24	9p13.3	#	KIAA1045
158358	KIAA2026	KIAA2026	9p24.1	#	Uncharacterized protein KIAA2026
83746	L3MBTL2	L3MBTL2 polycomb repressive complex 1 subunit	22q13.2	Histone modification read	H-l(3)mbt-l; DKFZP761I141; dJ756G23.3; L3MBT; H-l(3)mbt-like protein 2; L(3)mbt-like protein 2; Lethal(3)malignant brain tumor-like protein 2
84456	L3MBTL3	l(3)mbt-like 3 (Drosophila)	6q23.1	Histone modification read	KIAA1798; MBT-1; MBT1; H-l(3)mbt-like protein 3; l(3)mbt-like protein 3; Lethal(3)malignant brain tumor-like protein 3
91133	L3MBTL4	l(3)mbt-like 4 (Drosophila)	18p11.31	Histone modification read	FLJ35936; HsT1031; H-l(3)mbt-like protein 4; l(3)mbt-like protein 4; Lethal(3)malignant brain tumor-like protein 4
26013	L3MBTL1	l(3)mbt-like 1 (Drosophila)	20q13.12	Histone modification read	ZC2HC3; dJ138B7.3; DKFZp586P1522; KIAA0681; lethal (3) malignant brain tumor l(3); L3MBTL; l(3)mbt (Drosophila)-like; l(3)mbt-like (Drosophila); H-L(3)MBT; l(3)mbt protein homolog; L(3)mbt-like; H-l(3)mbt protein; Lethal(3)malignant brain tumor-like protein 1
3930	LBR	lamin B receptor	1q42.12	#	DHCR14B; TDRD18; tudor domain containing 18; LMN2R; PHA; integral nuclear envelope inner membrane protein; Lamin-B receptor
4000	LMNA	lamin A/C	1q22	#	LMN1; CMD1A; LGMD1B; LMNL1; cardiomyopathy, dilated 1A (autosomal dominant); limb girdle muscular dystrophy 1B (autosomal dominant); progeria 1 (Hutchinson-Gilford type); lamin A/C-like 1; CDCD1; CDDC; CMT2B1; EMD2; FPL; FPLD; FPLD2; IDC; LDP1; LFP; LMNC; 70 kDa lamin; prelamin-A/C; renal carcinoma antigen NY-REN-32
4001	LMNB1	lamin B1	5q23.2	#	ADLD; LMN; LMNB; Lamin-B1
84823	LMNB2	lamin B2	19p13.3	#	lamin B3; Lamin-B2
4152	MBD1	methyl-CpG binding domain protein 1	18q21.1	Histone modification write cofactor	CXXC3; RFT; CXXC-type zinc finger protein 3; methyl-CpG binding domain protein 1 isoform PCM1; protein containing methyl-CpG-binding domain 1; the regulator of fibroblast growth factor 2 (FGF-2) transcription; Methyl-CpG-binding protein MBD1; Methyl-CpG-binding domain protein 1
8932	MBD2	methyl-CpG binding domain protein 2	18q21.2	Histone modification write cofactor, Histone modification erase cofactor	DMTase; NY-CO-41; demethylase; Methyl-CpG-binding protein MBD2; Methyl-CpG-binding domain protein 2
53615	MBD3	methyl-CpG binding domain protein 3	19p13	Histone modification erase cofactor	Methyl-CpG-binding protein MBD3; Methyl-CpG-binding domain protein 3
8930	MBD4	methyl-CpG binding domain 4, DNA glycosylase	3q21.3	DNA modification	methyl-CpG binding domain protein 4; 3,N(4)-ethenocytosine glycosylase; G/5-fluorouracil mismatch glycosylase with biphasic kinetics; G/T mismatch glycosylase; G/U mismatch glycosylase; methyl-CpG-binding endonuclease 1; methyl-CpG-binding protein MBD4; mismatch-specific DNA N-glycosylase; putative methyl-CpG binding protein; Methyl-CpG-binding domain protein 4
55777	MBD5	methyl-CpG binding domain protein 5	2q23.2	Chromatin remodelling	FLJ11113; KIAA1461; MRD1; methyl-CpG-binding protein MBD5; Methyl-CpG-binding domain protein 5
114785	MBD6	methyl-CpG binding domain protein 6	12q13.3	Chromatin remodelling	KIAA1887; methyl-CpG-binding protein MBD6; Methyl-CpG-binding domain protein 6
54799	MBTD1	mbt domain containing 1	17q21.33	Polycomb group (PcG) protein	SA49P01; FLJ20055; MBT domain-containing protein 1
64769	MEAF6	MYST/Esa1 associated factor 6	1p34.3	Histone modification write cofactor	NY-SAR-91; FLJ11730; Eaf6; CENP-28; Esa1p-associated factor 6 homolog (S. cerevisiae); centromere protein 28; C1orf149; chromosome 1 open reading frame 149; Esa1p-associated factor 6 homolog; protein EAF6 homolog; sarcoma antigen NY-SAR-91; hEAF6; Esa1-associated factor 6 homolog; Chromatin modification-related protein MEAF6
2122	MECOM	MDS1 and EVI1 complex locus	3q26.2	#	MDS1-EVI1; PRDM3; MDS1; EVI1; myelodysplasia syndrome 1; ecotropic viral integration site 1; MDS1 and EVI1 complex locus protein MDS1; ecotropic virus integration site 1 protein homolog; myelodysplasia syndrome-associated protein 1; oncogene EVI1; zinc finger protein Evi1; MDS1 and EVI1 complex locus protein EVI1
4204	MECP2	methyl-CpG binding protein 2	Xq28	Histone modification write cofactor, Histone modification write cofactor	RTT; MRX16; MRX79; mental retardation, X-linked 16; mental retardation, X-linked 79; Rett syndrome; methyl CpG binding protein 2 (Rett syndrome); AUTSX3; MRXS13; MRXSL; PPMX; meCp-2 protein; Methyl-CpG-binding protein 2
4221	MEN1	menin 1	11q13	#	menin; MEAI
23269	MGA	MGA, MAX dimerization protein	15q15	Histone modification write cofactor, Histone modification write cofactor	KIAA0518; MAD5; MXD5; FLJ12634; MAX gene associated; MAX dimerization protein 5; MAX gene-associated protein
4255	MGMT	O-6-methylguanine-DNA methyltransferase	10q26.3	#	6-O-methylguanine-DNA methyltransferase; O-6-methylguanine-DNA-alkyltransferase; O6-methylguanine-DNA methyltransferase; methylated DNA protein cysteine methyltransferase; methylguanine-DNA methyltransferase; Methylated-DNA--protein-cysteine methyltransferase
84864	RIOX2	ribosomal oxygenase 2	3q11.2	Histone modification erase	
